"filename", "language", "TypeScript", "Properties", "Markdown", "JSON", "HTML", "XML", "JavaScript", "JSON with Comments", "TypeScript React", "vue", "CSS", "YAML", "comment", "blank", "total"
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerHeader.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerOverview.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 9, 206
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/LawyerSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerAppointments.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 517, 0, 0, 22, 30, 569
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerAppointmentsNew.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 22, 195
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/appointments/LawyerNewAppointments.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/cases/LawyerCases.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 8, 7, 110
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/profile/LawyerProfile.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 28, 3, 126
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/schedules/LawyerSchedules.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 1, 8, 335
"/home/o/Documents/dev/validient/validient-ui-vue/src/components/lawyer/schedules/LawyerSchedulesNew.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 8, 128
